BAC, Bank of America Corporation, NYQ, Money Center Banks, USA
T, AT&T Inc., NYQ, Telecom Services - Domestic, USA
MO, Altria Group Inc., NYQ, Cigarettes, USA
DAL, Delta Air Lines Inc., NYQ, Major Airlines, USA
AA, Alcoa Corporation, NYQ, Aluminum, USA
AXP, American Express Company, NYQ, Credit Services, USA
DD, E. I. du Pont de Nemours and Company, NYQ, AGricultural Chemicals, USA
BABA, Alibaba Group Holding Limited, NYQ, Specialty Retail, USA
ABT, Abbott Laboratories, NYQ, Medical Appliances & Equipment, USA
UA, Under Armour Inc., NYQ, Textile - Apparel Clothing, USA
AIG, American International Group Inc., NYQ, Property & Casualty Insurance, USA
ALL, The Allstate Corporation, NYQ, Property & Casualty Insurance, USA
ACN, Accenture plc, NYQ, Information Technology Services, USA
ABBV, AbbVie Inc., NYQ, Drug Manufacturers - Major, USA
MT, ArcelorMittal, NYQ, Steel & Iron, USA
LLY, Eli Lilly and Company, NYQ, Drug Manufacturers - Major, USA
AGN, Allergan plc, NYQ, Drugs - Generic, USA
APA, Apache Corporation, NYQ, Independent Oil & Gas, USA
APC, Anadarko Petroleum Corporation, NYQ, Independent Oil & Gas, USA
NLY, Annaly Capital Management Inc., NYQ, REIT - Diversified, USA
ABX, Barrick Gold Corporation, NYQ, Gold, USA
ADM, Archer-Daniels-Midland Company, NYQ, Farm Products, USA
LUV, Southwest Airlines Co., NYQ, Regional Airlines, USA
PANW, Palo Alto Networks Inc., NYQ, Networking & Communication Devices, USA
AET, Aetna Inc., NYQ, Health Care Plans, USA
AEP, American Electric Power Company Inc., NYQ, Electric Utilities, USA
DB, Deutsche Bank Aktiengesellschaft, NYQ, Foreign Regional Banks, USA
RAI, Reynolds American Inc., NYQ, n/a, USA
AEM, AGnico Eagle Mines Limited, NYQ, Gold, USA
APD, Air Products and Chemicals Inc., NYQ, Chemicals - Major Diversified, USA
NVS, Novartis AG, NYQ, Drug Manufacturers - Major, USA
ANF, Abercrombie & Fitch Co., NYQ, Apparel Stores, USA
RAD, Rite Aid Corporation, NYQ, Drug Stores, USA
ARRY, Array BioPharma Inc., NGM, Biotechnology, USA
A, AGilent Technologies Inc., NYQ, Medical Laboratories & Research, USA
FOLD, Amicus Therapeutics Inc., NGM, Biotechnology, USA
AZO, AutoZone Inc., NYQ, Auto Parts Stores, USA
AN, AutoNation Inc., NYQ, Auto Dealerships, USA
AZN, AstraZeneca PLC, NYQ, Drug Manufacturers - Major, USA
AES, The AES Corporation, NYQ, Electric Utilities, USA
GAS, AGL Resources Inc., NYQ, n/a, USA
BUD, Anheuser-Busch InBev SA/NV, NYQ, Beverages - Brewers, USA
ARR, ARMOUR Residential REIT Inc., NYQ, REIT - Residential, USA
BDX, Becton Dickinson and Company, NYQ, Medical Instruments & Supplies, USA
AKS, AK Steel Holding Corporation, NYQ, Steel & Iron, USA
AB, AllianceBernstein Holding L.P., NYQ, Asset Management, USA
CS, Credit Suisse Group AG, NYQ, Foreign Money Center Banks, USA
AFL, Aflac Incorporated, NYQ, Accident & Health Insurance, USA
AMP, Ameriprise Financial Inc., NYQ, Asset Management, USA
AVP, Avon Products Inc., NYQ, Personal Products, USA
